author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Суламит-НГС;real_estate_agent;https://www.cian.ru/sale/flat/286335001/;Москва;sale;flat;5;9;1;32.5;252307;8200000;Выхино-Жулебино;Ферганский проезд;Юго-Восточная;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/281184196/;Москва;sale;flat;4;5;1;17.1;380116;6500000;Черемушки;Херсонская;Зюзино;
Стоун Бридж эстейт;real_estate_agent;https://www.cian.ru/sale/flat/286707150/;Москва;sale;flat;2;16;1;50.0;1200000;60000000;Якиманка;Большая Якиманка;Полянка;Коперник
ATLANT;real_estate_agent;https://www.cian.ru/sale/flat/286992958/;Москва;sale;flat;19;52;1;28.0;571428;16000000;Раменки;Мичуринский проспект;Раменки;
ИМПЕРИАЛ;official_representative;https://www.cian.ru/sale/flat/282406612/;Москва;sale;flat;1;4;1;17.3;421387;7290000;Басманный;Радио;Бауманская;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/286625793/;Москва;sale;flat;10;18;1;27.5;209090;5750000;;;Ольховая;
ПИК;developer;https://www.cian.ru/sale/flat/284915169/;Москва;sale;flat;31;33;1;32.6;260831;8503122;Западное Дегунино;Северный ао;Лианозово;Бусиновский Парк ЖК
ФСК;developer;https://www.cian.ru/sale/flat/278772111/;Москва;sale;flat;-1;-1;-1;1.0;10050806;10050806;Покровское-Стрешнево;Северо-Западный ао;Спартак;Движение Тушино ЖК
Навигатор;real_estate_agent;https://www.cian.ru/sale/flat/285865750/;Москва;sale;flat;5;19;1;39.3;330788;13000000;Коньково;Введенского;Беляево;
Ключи;real_estate_agent;https://www.cian.ru/sale/flat/287034120/;Москва;sale;flat;10;26;1;35.2;371874;13090000;Западное Дегунино;Дмитровское шоссе;Верхние Лихоборы;Тринити
